lecture_id,classroom_id,day,starttime,endtime
10467,1023002,2,1400,1500
10467,1023002,4,1400,1600
10468,1023002,3,1100,1300
10468,1023002,5,800,1000
10469,1023031,1,1400,1500
10469,1023031,2,1600,1800
10469,1023031,4,1200,1300
10470,1023018,1,1000,1100
10470,1023018,2,1000,1200
10471,1023002,1,1500,1700
10471,1023002,3,1000,1100
10473,1023002,1,1100,1200
10473,1023002,3,1400,1600
10474,1023002,2,1500,1600
10474,1023002,5,1000,1200
10475,1023002,1,1700,1800
10475,1023002,4,1000,1200
10477,1023002,2,900,1000
10477,1023002,4,1600,1800
10478,1023031,3,1600,1800
10478,1023031,5,1200,1300
10479,1023002,1,1800,1900
10479,1023002,2,1100,1300
10479,1023002,4,1800,2000
10480,1012026,2,1630,1800
10480,1012026,4,1200,1330
10481,1012026,2,1500,1630
10481,1012026,4,1500,1630
10482,1023010,1,1630,1800
10482,1023010,3,1200,1330
10483,1023010,3,1500,1630
10483,1023010,5,1330,1500
10484,1023010,3,1630,1800
10484,1023010,5,1030,1200
10485,1012026,2,1200,1330
10485,1012026,3,1500,1630
10486,1012028,3,1630,1800
10486,1012028,5,1030,1200
10487,1012026,2,1330,1500
10487,1012026,4,1030,1200
10488,1023010,2,1330,1500
10488,1023010,4,1500,1630
10489,1023010,2,1000,1130
10489,1023010,4,1000,1130
10490,1023010,2,1500,1630
10490,1023010,4,1330,1500
10491,1012004,1,1330,1500
10491,1012004,3,900,1030
10492,1023030,2,1800,1900
10492,1023030,5,1000,1200
10493,1003024,1,1630,1800
10493,1003024,3,1200,1330
10494,1012011,2,1630,1800
10494,1012011,4,1200,1330
10495,1012028,3,1200,1330
10495,1012028,5,1500,1630
10496,1012011,1,900,1030
10496,1012011,4,1500,1630
10497,1023010,2,1630,1800
10497,1023010,4,1200,1330
10498,1012011,2,1500,1630
10498,1012011,4,900,1030
10500,1023029,3,1400,1600
10500,1023029,4,1400,1500
10501,1023029,4,1500,1600
10502,1023029,5,1000,1200
10503,1023030,1,1000,1200
10503,1023030,5,1300,1400
10504,1023030,1,1500,1700
10504,1023030,3,1400,1500
10505,1023029,2,1400,1600
10505,1023029,3,1600,1700
10506,1023030,1,1300,1400
10506,1023030,4,1500,1700
10507,1023029,2,1000,1200
10507,1023029,4,1300,1400
10508,1023029,5,1400,1700
10510,1023029,1,1000,1200
10510,1023029,2,1600,1700
10511,1023029,2,1300,1400
10511,1023029,4,1000,1200
10512,1023029,1,1400,1700
10513,1023030,2,1000,1200
10513,1023030,4,1400,1500
10514,1023030,2,1400,1600
10514,1023030,4,1300,1400
10516,1023029,5,1200,1400
10517,1023030,4,1000,1300
10518,1023030,1,1400,1500
10518,1023030,5,1400,1600
10519,1023029,3,1000,1300
10520,1023030,3,1500,1800
10521,1012005,1,1200,1300
10521,1023012,4,1600,1800
10522,1012005,3,1700,1800
10522,1012016,5,1000,1200
10523,1023010,1,1000,1200
10523,1023013,4,1300,1400
10524,1012027,2,1400,1600
10524,1012027,4,900,1000
10525,1012005,1,1600,1800
10525,1012005,3,1200,1300
10526,1012005,1,1300,1400
10526,1012005,3,1000,1200
10527,1012005,2,1300,1400
10527,1012005,4,1000,1200
10528,1023010,2,1200,1300
10528,1023010,5,1600,1800
10529,1012005,2,1000,1200
10529,1012005,5,1300,1400
10530,1012005,3,1500,1700
10530,1012005,5,900,1000
10531,1012005,1,900,1000
10531,1012005,4,1400,1600
10532,1012005,3,1300,1500
10532,1012005,5,1200,1300
10533,1012005,1,1400,1600
10533,1012005,3,900,1000
10534,1012005,2,1600,1800
10534,1012005,4,1200,1300
10536,1023006,1,1300,1400
10536,1023006,5,1000,1200
10537,1023012,2,900,1000
10537,1023012,5,1400,1600
10539,1023006,1,1000,1200
10539,1023006,5,1700,1800
10540,1023006,2,1400,1600
10540,1023006,3,1700,1800
10541,1023021,1,900,1000
10541,1023006,4,1000,1200
10542,1023021,2,900,1000
10542,1023006,3,1400,1600
10543,1023006,3,900,1100
10543,1023033,5,1100,1200
10545,1023006,1,1400,1600
10545,1023021,3,900,1000
10546,1023021,2,1700,1800
10546,1023021,3,1500,1700
10547,1023021,1,1200,1300
10547,1023033,2,1000,1200
10548,1023021,1,1000,1200
10548,1023021,5,1300,1400
10549,1023033,1,1300,1400
10549,1023021,4,1300,1500
10551,1023021,2,1200,1300
10551,1023021,5,1000,1200
10552,1023006,4,1400,1600
10552,1023033,5,1200,1300
10553,1023033,2,1500,1700
10553,1023006,4,900,1000
10554,1023006,2,900,1100
10554,1023006,5,900,1000
10555,1012021,1,1500,1600
10555,1012021,3,1500,1700
10556,1012023,1,1600,1800
10556,1012023,3,1200,1300
10557,1012023,1,1400,1600
10557,1012023,3,900,1000
10558,1012012,1,1630,1800
10558,1012012,3,1200,1330
10559,1023019,3,1000,1300
10562,1023019,2,1700,1800
10563,1023001,1,1300,1600
10564,1023001,1,1100,1200
10564,1023001,3,1600,1800
10565,1023001,1,1600,1700
10565,1023001,4,1000,1200
10566,1023001,2,1400,1600
10566,1023001,2,1600,1800
10567,1023001,3,1300,1600
10569,1023019,3,1400,1600
10569,1023019,3,1600,1800
10571,1023019,4,1500,1800
10572,1023001,1,1200,1300
10572,1023001,3,1000,1200
10574,1023001,5,1300,1600
10575,1023035,2,1400,1600
10575,1023035,2,1600,1800
10576,1003002,2,1500,1630
10576,1003002,4,900,1030
10577,1003002,2,1030,1200
10577,1003002,5,1330,1500
10578,1003002,2,1330,1500
10578,1003002,4,1030,1200
10579,1003002,2,900,1030
10579,1003002,5,1500,1630
10580,1003016,2,1330,1500
10580,1003016,4,1030,1200
10581,1003016,2,900,1030
10581,1003016,5,1500,1630
10582,1003018,2,1330,1500
10582,1003018,4,1030,1200
10583,1012004,2,900,1030
10583,1012016,4,1200,1330
10585,1012026,1,1200,1330
10585,1012026,3,1030,1200
10586,1012001,2,1500,1630
10586,1012004,5,1200,1330
10587,1012009,1,1630,1800
10587,1012009,3,1200,1330
10588,1012010,1,1330,1500
10588,1012010,3,900,1030
10589,1012009,1,1030,1200
10589,1012009,4,1330,1500
10590,1012009,1,1200,1330
10590,1012009,3,1030,1200
10591,1012022,1,1500,1630
10591,1012002,3,1200,1330
10592,1012009,1,900,1030
10592,1012009,4,1500,1630
10593,1012009,2,1630,1800
10593,1012009,4,1200,1330
10594,1012009,2,1500,1630
10594,1012009,4,900,1030
10595,1023003,1,1400,1600
10595,1023003,4,1100,1200
10596,1023003,1,1300,1400
10596,1023003,3,1000,1200
10597,1023003,2,1600,1800
10597,1023003,4,1300,1400
10598,1012028,1,1630,1800
10598,1012006,3,1200,1330
10599,1012004,2,1330,1500
10599,1012004,4,1030,1200
10601,1012009,2,1330,1500
10601,1012009,4,1030,1200
10602,1012009,3,1330,1500
10602,1012021,4,1630,1800
10603,1012021,2,1630,1800
10603,1012013,4,1200,1330
10604,1012006,1,1030,1200
10604,1012010,3,1500,1630
10605,1012001,1,1330,1500
10605,1012014,3,1030,1200
10607,1023020,5,1000,1200
10608,1023003,3,1400,1700
10609,1023003,2,1400,1600
10609,1023003,4,1000,1100
10610,1023003,2,1000,1200
10610,1023003,4,900,1000
10611,1023003,3,1300,1400
10611,1023003,4,1400,1600
10612,1023003,2,1300,1400
10612,1023003,4,1600,1800
10613,1023003,1,1600,1700
10613,1023003,5,900,1100
10615,1023020,3,1500,1700
10615,1023020,4,1300,1400
10616,1023020,1,1400,1600
10616,1023020,4,1000,1100
10617,1023020,1,1600,1700
10617,1023020,2,900,1100
10618,1023020,2,1400,1600
10618,1023020,4,1100,1200
10620,1023041,2,1000,1200
10621,1023020,3,1100,1200
10621,1023020,4,1600,1800
10622,1023020,2,1700,1800
10622,1023020,4,1400,1600
10623,1023020,2,1100,1200
10623,1023020,3,900,1100
10624,1023020,2,1300,1400
10624,1023020,3,1300,1500
10625,1012001,1,1630,1800
10625,1012002,2,900,1030
10626,1015007,2,1500,1700
10626,1015007,3,1700,1800
10627,1015007,2,1700,1800
10627,1015007,3,1500,1700
10628,1015011,1,1330,1500
10628,1015011,3,1330,1500
10629,1015011,2,1330,1500
